id,handle,followers_count,friends_count,isProxy
0,"beate",797,316,0
1,"phahrrad",602,821,0
2,"doit1080p",317,902,0
3,"FahrradClub",32055,383,0
4,"MichaChrist",826,851,0
5,"badbadde",2345,2563,0
6,"afriend_de",32,146,0
7,"_Katja_Diehl_",51603,4582,0
8,"biocarbon",72,362,0
9,"ALEXfromBAD",463,1470,0
10,"TwitterMktgDACH",56488,80,0
11,"ADFC_BW",1705,904,0
12,"RADallianz",900,1372,0
13,"ADFC_Hamburg",5149,49,0
14,"Micha31281963",1183,306,0
15,"RobertS02242736",70,260,0
16,"RebeccaPeters_",3005,1293,0
17,"ADFC_Offenburg",159,158,0
18,"Fabzgy",481,633,0
19,"cyclist_threats",119,64,0
20,"DreieckLeo",430,641,0
21,"SudbadenVcd",568,314,0
22,"FR_Entscheid",867,267,0
23,"GeithManfred",312,1372,0
24,"WielandWeidema1",231,231,0
25,"AutokorrekturF",171,189,0
26,"VCD_Karlsruhe",163,101,0
27,"cityradler",4110,3497,0
28,"PaulEnerix",18,169,0
29,"carlosdel6839",302,696,0
30,"LaibleJessica",7,77,0
31,"AdfcKarlsruhe",284,188,0
32,"_tempo30",299,255,0
33,"FREsslingen",85,116,0
34,"VCD_BW",126,90,0
35,"VerkehrsingDE",140,370,0
36,"zuehlke_frank",295,9,0
37,"bit_ou",327,1521,0
38,"quanten_sprung",519,1040,0
39,"ADFC_Freiburg",315,139,0
40,"bergziege2001",407,902,0
41,"zweirat0711",2355,199,0
42,"adfc_stuttgart",1632,70,0
43,"BiehlHerzfeldCo",1766,2154,0
44,"radkolumne",15224,4802,0
45,"adfcOrtenau",127,176,0
46,"stuttrad",6,210,0
47,"JoeWhirlypop",168,709,0